ident,type,name,elevation_ft,country,state_code,city_code,municipality,x_coordinate,y_coordinate
00AA,small_airport,Aero B Ranch Airport,3435.0,US,KS,00AA,Leoti,-101.473911,38.704022
00AK,small_airport,Lowell Field,450.0,US,AK,00AK,Anchor Point,-151.695999146,59.94919968
00AL,small_airport,Epps Airpark,820.0,US,AL,00AL,Harvest,-86.77030181884766,34.86479949951172
00AS,small_airport,Fulton Airport,1100.0,US,OK,00AS,Alex,-97.8180194,34.9428028
00AZ,small_airport,Cordes Airport,3810.0,US,AZ,00AZ,Cordes,-112.16500091552734,34.305599212646484
00CA,small_airport,Goldstone /Gts/ Airport,3038.0,US,CA,00CA,Barstow,-116.888000488,35.350498199499995
00CL,small_airport,Williams Ag Airport,87.0,US,CA,00CL,Biggs,-121.763427,39.427188
00FA,small_airport,Grass Patch Airport,53.0,US,FL,00FA,Bushnell,-82.21900177001953,28.64550018310547
00FL,small_airport,River Oak Airport,35.0,US,FL,00FL,Okeechobee,-80.96920013427734,27.230899810791016
00GA,small_airport,Lt World Airport,700.0,US,GA,00GA,Lithonia,-84.06829833984375,33.76750183105469
00ID,small_airport,Delta Shores Airport,2064.0,US,ID,00ID,Clark Fork,-116.21399688720703,48.145301818847656
00IG,small_airport,Goltl Airport,3359.0,US,KS,00IG,McDonald,-101.395994,39.724028
00IL,small_airport,Hammer Airport,840.0,US,IL,00IL,Polo,-89.5604019165039,41.97840118408203
00IS,small_airport,Hayenga's Cant Find Farms Airport,820.0,US,IL,00IS,Kings,-89.1229019165039,40.02560043334961
00KS,small_airport,Hayden Farm Airport,1100.0,US,KS,00KS,Gardner,-94.93049621582031,38.72779846191406
00KY,small_airport,Robbins Roost Airport,1265.0,US,KY,00KY,Stanford,-84.61969757080078,37.409400939941406
00LS,small_airport,Lejeune Airport,12.0,US,LA,00LS,Esterwood,-92.42939758300781,30.13629913330078
00MD,small_airport,Slater Field,45.0,US,MD,00MD,Federalsburg,-75.75379943847656,38.75709915161133
00MN,small_airport,Battle Lake Municipal Airport,1365.0,US,MN,00MN,Battle Lake,-95.70030212402344,46.29999923706055
00MO,small_airport,Cooper Flying Service Airport,970.0,US,MO,00MO,Alba,-94.412399291992,37.202800750732
00N,small_airport,Bucks Airport,105.0,US,NJ,00N,Bridgeton,-75.1852035522461,39.473201751708984
00NC,small_airport,North Raleigh Airport,348.0,US,NC,00NC,Louisburg,-78.37139892578125,36.085201263427734
00NY,small_airport,Weiss Airfield,1000.0,US,NY,00NY,West Bloomfield,-77.49970245361328,42.90010070800781
00OH,small_airport,Exit 3 Airport,785.0,US,OH,00OH,Wauseon,-84.14219665527344,41.59090042114258
00OK,small_airport,Gull Bay Landing Airport,960.0,US,OK,00OK,Sandsprings,-96.217693,36.198598
00PN,small_airport,Ferrell Field,1301.0,US,PA,00PN,Mercer,-80.211111,41.2995
00S,small_airport,Mc Kenzie Bridge State Airport,1620.0,US,OR,00S,Mc Kenzie Bridge,-122.088996887,44.183200836199994
00SC,small_airport,Flying O Airport,150.0,US,SC,00SC,Sumter,-80.26719665527344,34.0093994140625
00SD,small_airport,Homan Field,1590.0,US,SD,00SD,Gary,-96.498897,44.809158
00TN,small_airport,Ragsdale Road Airport,1100.0,US,TN,00TN,Manchester,-85.95359802246094,35.515899658203125
00TS,small_airport,Alpine Range Airport,670.0,US,TX,00TS,Everman,-97.24199676513672,32.607601165771484
00VA,small_airport,Vaughan Airport,551.0,US,VA,00VA,Alton,-78.9991684,36.57600021
00VI,small_airport,Groundhog Mountain Airport,2680.0,US,VA,00VI,Hillsville,-80.49949645996094,36.663299560546875
00W,small_airport,Lower Granite State Airport,719.0,US,WA,00W,Colfax,-117.44300079346,46.673500061035
00WA,small_airport,Howell Airport,150.0,US,WA,00WA,Longbranch,-122.77200317382812,47.17839813232422
00WI,small_airport,Northern Lite Airport,860.0,US,WI,00WI,Waupaca,-89.05010223388672,44.304298400878906
00WN,small_airport,Hawks Run Airport,2900.0,US,WA,00WN,Asotin,-117.2490005493164,46.25
00WV,small_airport,Lazy J. Aerodrome,2060.0,US,WV,00WV,Beverly,-79.86609649658203,38.82889938354492
00XS,small_airport,L P Askew Farms Airport,3110.0,US,TX,00XS,O'Donnell,-101.93399810791016,33.03340148925781
01A,small_airport,Purkeypile Airport,1950.0,US,AK,01A,Purkeypile,-152.27000427246094,62.943599700927734
01AL,small_airport,Ware Island Airport,344.0,US,AL,01AL,Clanton,-86.51390075683594,32.94599914550781
01CL,small_airport,Swansboro Country Airport,2594.0,US,CA,01CL,Placerville,-120.73400115966797,38.79990005493164
01FA,small_airport,Rybolt Ranch Airport,55.0,US,FL,01FA,Orlando,-81.14420318603516,28.589399337768555
01FL,small_airport,Cedar Knoll Flying Ranch Airport,19.0,US,FL,01FL,Geneva,-81.1592025756836,28.78190040588379
01GE,small_airport,The Farm Airport,375.0,US,GA,01GE,Wrightsville,-82.77110290527344,32.674400329589844
01IA,small_airport,Stender Airport,725.0,US,IA,01IA,Maysville,-90.74130249023438,41.66109848022461
01ID,small_airport,Lava Hot Springs Airport,5268.0,US,ID,01ID,Lava Hot Springs,-112.031998,42.6082
01II,small_airport,Myers Field,950.0,US,IN,01II,Lizton,-86.50669860839844,39.8849983215332
01IS,small_airport,William E. Koenig Airport,670.0,US,IL,01IS,Dow,-90.31819915771484,39.01620101928711
01J,small_airport,Hilliard Airpark,59.0,US,FL,01J,Hilliard,-81.90570068359375,30.68630027770996
01K,small_airport,Caldwell Municipal Airport,1157.0,US,KS,01K,Caldwell,-97.5864028930664,37.03609848022461
01KS,small_airport,Flying N Ranch Airport,1485.0,US,KS,01KS,Lost Springs,-97.00330352783203,38.54059982299805
01LA,small_airport,Barham Airport,90.0,US,LA,01LA,Oak Ridge,-91.77369689941406,32.638999938964844
01LL,small_airport,Schumaier Restricted Landing Area,555.0,US,IL,01LL,Pinckneyville,-89.46389770507812,38.12580108642578
01LS,small_airport,Country Breeze Airport,125.0,US,LA,01LS,Slaughter,-91.07740020751953,30.70599937438965
01MT,small_airport,Crystal Lakes Resort Airport,3141.0,US,MT,01MT,Fortine,-114.87999725341797,48.789100646972656
01NC,small_airport,Topsail Airpark,65.0,US,NC,01NC,Holly Ridge,-77.5813980102539,34.47529983520508
01NE,small_airport,Detour Airport,3000.0,US,NE,01NE,Wellfleet,-100.65299987792969,40.84360122680664
01NH,small_airport,Moore Airfield,835.0,US,NH,01NH,Canaan,-72.086998,43.6445
01NM,small_airport,Champion Ranch Airport,3630.0,US,NM,01NM,Artesia,-104.540278,33.008611
01NV,small_airport,Lantana Ranch Airport,4600.0,US,NV,01NV,Yerington,-119.0270004272461,38.76390075683594
01PN,small_airport,Bierly(Personal Use) Airport,960.0,US,PA,01PN,Bellefonte,-77.73889923095703,40.930599212646484
01PS,small_airport,Nort's Resort Airport,1040.0,US,PA,01PS,Meshoppen,-76.02960205078125,41.59590148925781
01SC,small_airport,York Airport,779.0,US,SC,01SC,York,-81.25279998779297,35.032100677490234
01TE,small_airport,Smith Field,505.0,US,TX,01TE,Forney,-96.4280014038086,32.73759841918945
01TN,small_airport,Colonial Air Park,370.0,US,TN,01TN,Collierville,-89.73059844970703,34.99589920043945
01TX,small_airport,Mims Farm Ultralightport,610.0,US,TX,01TX,Waxahachie,-96.87750244140625,32.38759994506836
