cicid,year,month,origin_country,city_code,city_name,state_code,State
4084316,2016,4,JAPAN,HHW,HONOLULU          ,HI,Hawaii
4422636,2016,4,"MEXICO Air Sea, and Not Reported (I-94, no land arrivals)",MCA,MCALLEN           ,TX,Texas
1195600,2016,4,GERMANY,OGG,KAHULUI - MAUI,FL,Florida
5291768,2016,4,QATAR,LOS,LOS ANGELES       ,CA,California
985523,2016,4,FRANCE,CHM,CHAMPLAIN         ,NY,New York
1481650,2016,4,GUATEMALA,ATL,ATLANTA           ,GA,Georgia (State)
2197173,2016,4,"CHINA, PRC",SFR,SAN FRANCISCO     ,CA,California
232708,2016,4,UNITED KINGDOM,NYC,NEW YORK          ,NY,New York
5227851,2016,4,SWITZERLAND,CHI,CHICAGO           ,IL,Illinois
13213,2016,4,IRELAND,LOS,LOS ANGELES       ,CA,California
1230572,2016,4,AUSTRALIA,LOS,LOS ANGELES       ,CA,California
5056736,2016,4,JAPAN,PHI,PHILADELPHIA      ,HI,Hawaii
4916639,2016,4,PHILIPPINES,LOS,LOS ANGELES       ,CA,California
1387607,2016,4,GERMANY,BOS,BOSTON            ,MA,Massachusetts
1056530,2016,4,BAHAMAS,NAS,"NASSAU, BAHAMAS       ",GA,Georgia (State)
2466971,2016,4,BRAZIL,FTL,FORT LAUDERDALE   ,FL,Florida
4668286,2016,4,RUSSIA,SEA,SEATTLE           ,NV,Nevada
2556646,2016,4,PHILIPPINES,FTL,FORT LAUDERDALE   ,CA,California
4042798,2016,4,ICELAND,ORL,ORLANDO           ,FL,Florida
2139030,2016,4,BRAZIL,PSP,PALM SPRINGS,HI,Hawaii
3097076,2016,4,MARTINIQUE,NYC,NEW YORK          ,NY,New York
2741251,2016,4,ISRAEL,HOU,HOUSTON           ,CA,California
2721962,2016,4,JAPAN,NEW,NEWARK/TETERBORO  ,HI,Hawaii
513779,2016,4,TAIWAN,SFR,SAN FRANCISCO     ,TX,Texas
5070551,2016,4,INDIA,LOS,LOS ANGELES       ,CA,California
2006623,2016,4,UNITED KINGDOM,ORL,ORLANDO           ,FL,Florida
2826530,2016,4,"MEXICO Air Sea, and Not Reported (I-94, no land arrivals)",SNJ,SAN JOSE          ,CA,California
5692439,2016,4,TURKEY,HOU,HOUSTON           ,NV,Nevada
5835717,2016,4,"MEXICO Air Sea, and Not Reported (I-94, no land arrivals)",DET,DETROIT           ,FL,Florida
2752883,2016,4,BERMUDA,DET,DETROIT           ,NY,New York
239999,2016,4,ANGOLA,FTL,FORT LAUDERDALE   ,NY,New York
4805034,2016,4,"MEXICO Air Sea, and Not Reported (I-94, no land arrivals)",HOU,HOUSTON           ,PA,Pennsylvania
216657,2016,4,VENEZUELA,FTL,FORT LAUDERDALE   ,FL,Florida
2495693,2016,4,ITALY,NYC,NEW YORK          ,FL,Florida
2929149,2016,4,INDIA,LVG,LAS VEGAS         ,NC,North Carolina
4462449,2016,4,BRAZIL,ORL,ORLANDO           ,FL,Florida
800571,2016,4,ARGENTINA ,PSP,PALM SPRINGS,FL,Florida
692716,2016,4,"CHINA, PRC",NEW,NEWARK/TETERBORO  ,NJ,New Jersey
5472659,2016,4,JAPAN,NEW,NEWARK/TETERBORO  ,NY,New York
999282,2016,4,SPAIN,MIA,MIAMI             ,FL,Florida
2572618,2016,4,HONDURAS,MIA,MIAMI             ,FL,Florida
4269184,2016,4,NETHERLANDS,NEW,NEWARK/TETERBORO  ,NY,New York
2863583,2016,4,BRAZIL,MIA,MIAMI             ,FL,Florida
4842142,2016,4,BRAZIL,ORL,ORLANDO           ,FL,Florida
2955388,2016,4,AUSTRALIA,VCV,"VANCOUVER, CANADA     ",CA,California
1592228,2016,4,UNITED KINGDOM,DUB,"DUBLIN, IRELAND       ",VT,Vermont
3108700,2016,4,SPAIN,BOS,BOSTON            ,CA,California
5287221,2016,4,PAKISTAN,PEM,PEMBINA           ,IL,Illinois
4455709,2016,4,ARGENTINA ,NYC,NEW YORK          ,NY,New York
36661,2016,4,UNITED KINGDOM,LOS,LOS ANGELES       ,FL,Florida
2655122,2016,4,BRAZIL,LOS,LOS ANGELES       ,CA,California
2873671,2016,4,RUSSIA,NYC,NEW YORK          ,MA,Massachusetts
2053392,2016,4,AUSTRALIA,LOS,LOS ANGELES       ,CA,California
450692,2016,4,NETHERLANDS,NEW,NEWARK/TETERBORO  ,FL,Florida
1840249,2016,4,INDIA,SEA,SEATTLE           ,WA,Washington
4086972,2016,4,JAPAN,SFR,SAN FRANCISCO     ,CA,California
2686134,2016,4,NETHERLANDS,NYC,NEW YORK          ,NY,New York
4299497,2016,4,GERMANY,NYC,NEW YORK          ,NY,New York
3148387,2016,4,JAPAN,TAM,TAMPA             ,CA,California
1787495,2016,4,FRANCE,MIA,MIAMI             ,FL,Florida
2522724,2016,4,GERMANY,NEW,NEWARK/TETERBORO  ,NY,New York
3293058,2016,4,COLOMBIA,MIA,MIAMI             ,FL,Florida
4507487,2016,4,UNITED KINGDOM,ORL,ORLANDO           ,FL,Florida
3599863,2016,4,"MEXICO Air Sea, and Not Reported (I-94, no land arrivals)",HOU,HOUSTON           ,TX,Texas
2351028,2016,4,JAPAN,FTL,FORT LAUDERDALE   ,CA,California
4032526,2016,4,POLAND,BOS,BOSTON            ,MA,Massachusetts
5418580,2016,4,AUSTRIA,SFR,SAN FRANCISCO     ,CA,California
243918,2016,4,SWEDEN,PSP,PALM SPRINGS,IL,Illinois
1186211,2016,4,UNITED KINGDOM,ORL,ORLANDO           ,FL,Florida
4469436,2016,4,PERU,MIA,MIAMI             ,FL,Florida
5234881,2016,4,UNITED KINGDOM,LVG,LAS VEGAS         ,NE,Nebraska
4243216,2016,4,COLOMBIA,NYC,NEW YORK          ,NY,New York
2324901,2016,4,SWITZERLAND,NYC,NEW YORK          ,NY,New York
1435383,2016,4,HONG KONG,BLA,BLAINE            ,NE,Nebraska
2887088,2016,4,FRANCE,MIA,MIAMI             ,FL,Florida
3335777,2016,4,UNITED KINGDOM,LOS,LOS ANGELES       ,CA,California
1860945,2016,4,EGYPT,WAS,WASHINGTON DC         ,VA,Virginia
3371259,2016,4,ISRAEL,KOA,KEAHOLE-KONA      ,TX,Texas
1905596,2016,4,COSTA RICA,TAM,TAMPA             ,FL,Florida
2138291,2016,4,ARGENTINA ,MIA,MIAMI             ,FL,Florida
1636545,2016,4,SOUTH KOREA,SFR,SAN FRANCISCO     ,CA,California
5270355,2016,4,INDIA,DAL,DALLAS            ,TX,Texas
5695448,2016,4,UNITED KINGDOM,WAS,WASHINGTON DC         ,VA,Virginia
5021687,2016,4,IRELAND,SHA,"SHANNON, IRELAND      ",NY,New York
3681899,2016,4,UNITED KINGDOM,SFR,SAN FRANCISCO     ,CA,California
95870,2016,4,HONDURAS,NYC,NEW YORK          ,IL,Illinois
2653900,2016,4,BRAZIL,MIA,MIAMI             ,GA,Georgia (State)
2002746,2016,4,UNITED KINGDOM,NYC,NEW YORK          ,NY,New York
289809,2016,4,"CHINA, PRC",SAI,"SAIPAN, SPN           ",MP,Northern Mariana Islands
4969309,2016,4,"MEXICO Air Sea, and Not Reported (I-94, no land arrivals)",ATL,ATLANTA           ,VA,Virginia
3364934,2016,4,"CHINA, PRC",PSP,PALM SPRINGS,HI,Hawaii
1843262,2016,4,"CHINA, PRC",CHI,CHICAGO           ,IN,Indiana
2027276,2016,4,JAPAN,SFR,SAN FRANCISCO     ,MO,Missouri
650850,2016,4,SWEDEN,ATL,ATLANTA           ,GA,Georgia (State)
2926213,2016,4,JAPAN,SPM,ST PAUL           ,CA,California
